resource_key,English,简体中文
piko_newx_post_option_not_interested,Not interested,不感兴趣
piko_newx_post_option_mute_conversation,Mute conversation,将对话静音
piko_newx_post_option_pin,Pin,置顶
piko_newx_post_option_delete,Delete,删除
piko_newx_post_option_edit,Edit,编辑
piko_newx_post_option_quote,Quote,引用
piko_newx_post_option_repost,Repost,转帖
piko_newx_post_option_like,Like,点赞
piko_newx_post_option_dislike,Dislike,点踩
piko_newx_post_option_view_interactions,View post interactions,查看帖子互动
piko_newx_post_option_view_hidden_replies,View hidden replies,查看隐藏回复
piko_newx_post_option_view_analytics,View analytics,查看分析数据
piko_newx_post_option_change_reply_permission,Change who can reply,更改谁可以回复
piko_newx_post_option_add_to_list,Add to list,添加到列表
piko_newx_post_option_community_note,Community note,社区注释
piko_newx_post_option_boost,Boost,推广
piko_newx_post_option_highlight,Highlight,精选
piko_newx_post_filtering_title,Post filtering,帖子过滤
piko_newx_post_filtering_summary,Hide posts containing user-defined words and phrases,隐藏包含自定义词语或短语的帖子
piko_newx_post_filtering_enabled_title,Enable post filtering,启用帖子过滤
piko_newx_post_filtering_empty,"No filter rules yet.

Rules match literal words or phrases without case sensitivity. Content rules check posts, quotes, notes, articles, and link cards. Username rules check post and quoted authors. Matches are hidden from newly loaded timelines, including reply and profile timelines.","尚无过滤规则。

规则按字面匹配词语或短语，不区分大小写。内容规则会检查帖子、引用、注释、文章和链接卡片；用户名规则会检查帖子作者和被引用作者。匹配内容会从新加载的时间线中隐藏，包括回复时间线和个人资料时间线。"
piko_newx_post_filtering_add,Add filter rule,添加过滤规则
piko_newx_post_filtering_add_title,Add filter rule,添加过滤规则
piko_newx_post_filtering_edit_title,Edit filter rule,编辑过滤规则
piko_newx_post_filtering_phrase_hint,Word or phrase,词语或短语
piko_newx_post_filtering_match_content,Match post content,匹配帖子内容
piko_newx_post_filtering_match_usernames,Match usernames,匹配用户名
piko_newx_post_filtering_scope_content,Post content,帖子内容
piko_newx_post_filtering_scope_usernames,Usernames,用户名
piko_newx_post_filtering_scope_both,Post content and usernames,帖子内容和用户名
piko_newx_post_filtering_rule_enabled,Filter rule enabled,启用此过滤规则
piko_newx_post_filtering_save,Save,保存
piko_newx_post_filtering_cancel,Cancel,取消
piko_newx_post_filtering_remove,Remove,移除
piko_newx_post_filtering_error_blank,Enter a word or phrase.,请输入词语或短语。
piko_newx_post_filtering_error_scope,Select at least one matching scope.,请至少选择一种匹配范围。
piko_newx_post_filtering_error_duplicate,This word or phrase already has a rule.,此词语或短语已存在规则。
piko_newx_verified_account_timeline_filter_title,Enable timeline filtering,启用时间线过滤
piko_newx_verified_account_timeline_filter_summary,Hides selected verified account types from regular timelines,从普通时间线隐藏所选认证账号类型
piko_newx_verified_account_thread_filter_title,Enable thread filtering,启用对话串过滤
piko_newx_verified_account_thread_filter_summary,Hides selected verified account types from conversation threads,从对话串中隐藏所选认证账号类型
piko_newx_verified_account_filtered_replies_menu_title,Show Filtered replies menu,显示“已过滤回复”菜单
piko_newx_verified_account_filtered_replies_menu_summary,Adds a Filtered replies option to the post menu when thread filtering is on,开启对话串过滤时，在帖子菜单中添加“已过滤回复”选项
piko_newx_hide_verified_account_types_title,Hide posts by verified account type,按认证账号类型隐藏帖子
piko_newx_hide_verified_account_types_summary,Hide posts and replies whose timeline data reports a selected verification type,隐藏时间线数据报告为所选认证类型的帖子和回复
piko_newx_hide_verified_account_types_business,Business,企业
piko_newx_hide_verified_account_types_government,Government,政府
piko_newx_hide_verified_account_types_user,User / blue verification,用户 / 蓝标认证
piko_newx_hide_verified_account_types_unknown,Unknown,未知
piko_newx_verified_account_whitelist_title,Verified account whitelist,认证账号白名单
piko_newx_verified_account_whitelist_summary,Keep selected accounts visible when their timeline-reported verification type is hidden. Enter an @handle or numeric account ID.,当某类认证账号被隐藏时，仍保留指定账号可见。请输入 @用户名 或数字账号 ID。
piko_newx_verified_account_whitelist_empty,"No whitelisted accounts yet.

Add an @handle or numeric account ID. Long-press an account to remove it.","白名单中暂无账号。

请添加 @用户名 或数字账号 ID。长按账号可将其移除。"
piko_newx_verified_account_whitelist_add,Add account,添加账号
piko_newx_verified_account_whitelist_add_title,Add verified account,添加认证账号
piko_newx_verified_account_whitelist_account_hint,@handle or numeric account ID,@用户名 或数字账号 ID
piko_newx_verified_account_whitelist_save,Save,保存
piko_newx_verified_account_whitelist_cancel,Cancel,取消
piko_newx_verified_account_whitelist_error_blank,Enter an account handle or numeric account ID.,请输入账号用户名或数字账号 ID。
piko_newx_verified_account_whitelist_error_duplicate,That account is already whitelisted.,该账号已在白名单中。
piko_newx_filtered_replies_option_label,Filtered replies,已过滤回复
