resource_name,english,chinese
"piko_video_variants","Video variants","视频分辨率"
"piko_image_variants","Image variants","图片分辨率"
"piko_download_audio","Download audio","下载音频"
"piko_download_options","Download options","下载选项"
"piko_copy_media_link","Copy media link","复制媒体链接"
"piko_copied_media_link","Copied media link","已复制媒体链接"
"piko_download_all","Download all","下载全部"
"piko_downloading_media","Downloading:","下载中："
"piko_downloaded_media","Downloaded:","已下载："
"piko_media_exists","Media exists","媒体已存在"
"piko_download_failed_media","Download failed :","下载失败："
"piko_download_set_path","Choose download folder","选择下载文件夹"
"piko_download_set_path_success","Download directory updated!","下载目录已更新！"
"piko_download_set_path_failed","Failed to save download folder","保存下载文件夹失败"
"piko_download_choose_folder","Choose a download folder to continue","请选择下载文件夹以继续"
"piko_download_choose_folder_failed","Could not open folder picker","无法打开文件夹选择器"
"piko_download_grant_permission","Choose a download folder to continue","请选择下载文件夹以继续"
"piko_download_grant_permission_failed","Could not open folder picker","无法打开文件夹选择器"
"piko_download_with_external_downloader","Download with external downloader","使用外部下载器下载"
"piko_external_downloader_package_name","External downloader package name","外部下载器应用包名"
"piko_external_downloader_package_name_not_found","External downloader package name not found","找不到外部下载器"
"piko_external_downloader_package_name_not_set","Please set the external downloader package name","请设置外部下载软件包名称"
"piko_download_voice_media","Download voice message","下载语音消息"
"piko_post_options","Post options","帖子选项"
"piko_copy_post_description","Copy post description","复制帖子描述"
"piko_copy_post_owner_username","Copy post owner username","复制帖子所有者用户名"
"piko_copy_post_owner_fullname","Copy post owner fullname","复制帖子所有者全名"
"piko_enable_more_options_on_post","Enable more option on post","在帖子中启用更多选项"
"piko_enable_more_options_on_post_desc","Adds an overflow menu button to get more options on post/reels, like copy description, copy username etc","在帖子/reels上添加额外的菜单选项获取更多选项，例如复制描述，复制用户名等"
"piko_more_options","More options","更多选项"
"piko_category_hide_navigation_buttons","Hide navigation buttons","隐藏导航按钮"
"piko_hide_navigation_feed","Hide Feed button","隐藏Feed按钮"
"piko_hide_navigation_reels","Hide Reels button","隐藏Reels按钮"
"piko_hide_navigation_direct","Hide Direct button","隐藏私信按钮"
"piko_hide_navigation_search","Hide Search button","隐藏搜索按钮"
"piko_hide_navigation_create","Hide Create button","隐藏创建按钮"
"piko_category_about","About","关于"
"piko_export_pref","Export Piko preferences","导出 Piko 偏好设置"
"piko_import_pref","Import Piko preferences","导入 Piko 偏好设置"
"piko_reset_pref","Reset Piko preferences","重置 Piko 偏好设置"
"piko_reset_pref_success","Piko preferences deleted","已删除 Piko 偏好设置"
"piko_reset_pref_failed","Failed to delete Piko preferences","删除 Piko 偏好设置失败"
"piko_app_version","App version: %s","软件版本：%s"
"piko_patch_version","Patch version: %s","补丁版本： %s"
"piko_patch_info_title","Patch information","补丁信息"
"piko_patch_enabled","Enabled","已启用"
"piko_patch_disabled","Disabled","已禁用"
"piko_export_success","Exported successfully","导出成功"
"piko_export_fail","Exporting failed","导出失败"
"piko_fail_no_path","No destination path provided","未提供目标路径"
"piko_fail_no_file","File not found","找不到文件"
"piko_import_success","Imported successfully","导入成功"
"piko_import_fail","Import failed","导入失败"
"piko_restart_app","The app needs to be restarted for the changes to reflect","需要重启应用才能使修改生效"
"piko_ok","OK","确定"
"piko_cancel","Cancel","取消"
"piko_deleted","Deleted","删除"
"piko_debug","Piko debug","Piko 调试"
"piko_debug_desc","Adds debug option on some of the components for testing","在某些组件上添加了用于测试的调试选项"
"piko_export_experiment_list","Export experiment list","导出实验功能列表"
"piko_export_experiment_mappings","Export experiment mappings","导出实验映射"
"piko_open_image_externally","Open image externally","外部打开图像"
"piko_open_video_externally","Open video externally","外部打开视频"
"piko_open_image_with","Open image with","打开图像方式"
"piko_open_video_with","Open video with","打开视频方式"
"piko_change_like_animation","Change like animation","更改点赞动画"
"piko_change_like_animation_desc","Change the animation to one from existing Rings like animations","将点赞动画更改为现有快拍环动画中的一个"
"piko_available_like_animation","Available like animations","可用的点赞动画"
"piko_array_default","Default","默认"
"piko_array_detailed_timestamp","Detailed timestamp (Weekday/Month/Date/Hour/Minute/Second)","详细时间戳(周/月/日/小时/分钟/秒)"
"piko_array_post_time","Post time (Hour/Minute/Second)","发布时间 (小时/分钟/秒)"
"piko_array_time_left","Time left (Hour/Minute/Second left)","剩余时间 (小时/分钟/秒)"
"piko_welcome_title","Welcome to Piko","欢迎使用 Piko"
"piko_welcome_message","To improve your experience with Piko, please vist Piko settings and adjust your preference","为了改善您在 Piko 上的体验，请访问 Piko 设置并调整您的偏好设置"
"piko_goto_piko_settings","Goto Piko settings","前往Piko设置"
"piko_no_internet","Please connect to internet","请连接到网络"
"piko_tap_here","Tap here !!","点击这里！！"
"piko_category_action_bar","Action bar customisation","操作栏自定义"
"piko_action_bar_main_feed","Main feed action bar icons","主页操作栏图标"
"piko_action_bar_user_profile","User profile action bar icons","个人资料操作栏图标"
"piko_action_bar_chat","Chat action bar icons","聊天操作栏图标"
"piko_action_bar_chat_desc","Action bar icons inside a DM","私信聊天内的操作栏图标"
"piko_action_bar_inbox","Inbox action bar icons","收件箱操作栏图标"
"piko_action_bar_button_settings_icon","Settings icon","设置图标"
"piko_action_bar_button_ghost_mode_icon","Ghost mode icon","隐身模式图标"
"piko_action_bar_button_profile_info_icon","Profile info icon","个人资料图标"
"piko_settings_on_action_bar","Piko settings on action bar","操作栏上的 Piko 设置"
"piko_settings_on_action_bar_desc","Move Piko settings entry point to main feed action bar","移动Piko 设置到主页操作栏"
"piko_category_rec_flags","Recommended flags","推荐 Flags"
"piko_category_rec_flags_desc","Developer flags suggested by the community","社区推荐的开发者 Flags"
"piko_rec_flags_read_error","Failed to read cached flags file","读取缓存的 Flags 文件失败"
"piko_rec_flags_no_file","Recommended flags file not found","未找到推荐 Flags 文件"
"piko_rec_flags_refresh_file","Refresh flags","刷新 Flags"
"piko_rec_flags_last_modified_at","Last modified: %s","最后修改：%s"
"piko_category_filter_content","Filter content","内容过滤"
"piko_filter_story","Filter Story","快拍过滤"
"piko_filter_story_types_to_hide","Story types to hide","要隐藏的快拍类型"
"piko_reel_type_ads_reel","Ads reel","广告快拍"
"piko_reel_type_ar_effect_preview","Ar effect preview","AR 特效预览"
"piko_reel_type_archive_day_media_reel","Archive day media reel","日期媒体归档快拍"
"piko_reel_type_archive_day_reel","Archive day reel","日期归档快拍"
"piko_reel_type_archive_friend_reel","Archive friend reel","好友归档快拍"
"piko_reel_type_archive_map_reel","Archive map reel","地图归档快拍"
"piko_reel_type_archive_scheduled_for_deletion_reel","Archive scheduled for deletion reel","计划删除的归档快拍"
"piko_reel_type_archive_shop_reel","Archive shop reel","商店归档快拍"
"piko_reel_type_axe_reel","Axe reel","Axe 快拍"
"piko_reel_type_birthday_highlights","Birthday highlights","生日精选"
"piko_reel_type_bloks","Blox","Blox"
"piko_reel_type_broadcast_reel","Broadcast reel","广播快拍"
"piko_reel_type_daily_snapshot_reel","Daily snapshot reel","每日快照快拍"
"piko_reel_type_election_reel","Election reel","选举快拍"
"piko_reel_type_empty_story_state_reel","Empty story state reel","空快拍状态"
"piko_reel_type_end_of_year","End of year","年度回顾"
"piko_reel_type_expiring_story_reel","Expiring story reel","即将过期的快拍"
"piko_reel_type_fan_club_story","Fan club story","粉丝俱乐部快拍"
"piko_reel_type_follow_versaries","Follow versaries","关注纪念日"
"piko_reel_type_friend_map_reel","Friend map reel","好友地图快拍"
"piko_reel_type_group_mention","Group mention","群组提及"
"piko_reel_type_group_reel","Group reel","群组快拍"
"piko_reel_type_hallpass_reel","Hall pass reel","Hall Pass 快拍"
"piko_reel_type_highlight_reel","Highlight reel","精选快拍"
"piko_reel_type_highlight_rewind_reel","Highlight rewind reel","精选回顾快拍"
"piko_reel_type_inactive_hallpass_reel","Inactive hallpass reel","非活动 Hall Pass 快拍"
"piko_reel_type_mas_reel","Mas reel","Mas 快拍"
"piko_reel_type_media_reshare","Media reshare","媒体转发"
"piko_reel_type_memory_reel","Memory reel","回忆快拍"
"piko_reel_type_my_week_reel","My week reel","本周回顾快拍"
"piko_reel_type_netego_reel","Net ego reel","Net ego 快拍"
"piko_reel_type_nux_reel","Nux reel","新手引导快拍"
"piko_reel_type_private_story","Private story","私密快拍"
"piko_reel_type_prompt_sticker_reel","Prompt sticker reel","提示贴纸快拍"
"piko_reel_type_reconsideration_injected_story","reconsideration injected story","重新推荐的插入快拍"
"piko_reel_type_shopping_auto_highlight_reel","Shopping smart reel","购物自动精选快拍"
"piko_reel_type_shopping_pdp_reel","Shopping pdp reel","购物商品详情快拍"
"piko_reel_type_shopping_smart_reel","Shopping smart reel","智能购物快拍"
"piko_reel_type_stars_welcome_reel","Stars welcome reel","Stars 欢迎快拍"
"piko_reel_type_story_stationary_timeline_reel","Story stationary timeline reel","固定时间线快拍"
"piko_reel_type_subscription_shoutout_mention","Subscription shoutout mention","订阅喊话提及"
"piko_reel_type_suggested_creator_reel","Suggested creator reel","推荐创作者快拍"
"piko_reel_type_suggested_user","Suggested user","推荐用户"
"piko_reel_type_suggested_user_reel","Suggested user reel","推荐用户快拍"
"piko_reel_type_superlative_reel","Superlative reel","Superlative 快拍"
"piko_reel_type_third_party_app_story","Third party app story","第三方应用快拍"
"piko_reel_type_typed_container","Typed container","类型容器"
"piko_reel_type_user_reel","User reel","用户快拍"
"piko_filter_story_user_types_to_hide","User types to hide","要隐藏的用户类型"
"piko_user_type_unverified","Unverified users","未认证用户"
"piko_user_type_verified","Verified users","已认证用户"
"piko_filter_story_minimum_item_count","Minimum story items","最少快拍数量"
"piko_filter_story_minimum_item_count_desc","Stories having less than x items will be hidden (default 1)","少于 x 条内容的快拍将被隐藏（默认 1）"
"piko_filter_story_maximum_item_count","Maximum story items","最多快拍数量"
"piko_filter_story_maximum_item_count_desc","Stories having more than x items will be hidden (default 9999)","多于 x 条内容的快拍将被隐藏（默认 9999）"
piko_zh_show_top_translate_button,"Top full-screen translate button","顶部全屏翻译按钮"\npiko_zh_comment_translate_menu,"Comment plus translation menu","评论区加号翻译菜单"\npiko_zh_show_quick_download_button,"Quick download button","快捷下载按钮"\npiko_zh_translate_visible,"Translate visible screen","翻译当前屏幕"\npiko_zh_camera,"Camera","拍照"\npiko_zh_comment_plus,"More","更多"\n
